"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	Births	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"37 weeks"	"37"	20	2953.45	30.90	37.40	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"38 weeks"	"38"	41	3214.46	28.83	38.17	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"39 weeks"	"39"	62	3350.87	29.77	39.08	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"40 weeks"	"40"	66	3473.61	28.38	40.05	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"41 weeks"	"41"	27	3558.96	26.81	40.93	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"37 weeks"	"37"	22	3146.41	27.77	37.27	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"38 weeks"	"38"	52	3413.40	30.19	38.62	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"39 weeks"	"39"	76	3499.83	27.53	39.29	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"40 weeks"	"40"	52	3573.27	28.13	40.23	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"41 weeks"	"41"	23	3636.26	27.52	41.04	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"37 weeks"	"37"	24	2863.96	28.96	37.33	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"38 weeks"	"38"	38	3310.47	28.84	38.45	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"39 weeks"	"39"	66	3487.15	28.05	39.41	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"40 weeks"	"40"	54	3605.65	28.61	39.93	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"41 weeks"	"41"	25	3712.76	25.36	40.76	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"37 weeks"	"37"	21	2964.76	28.86	37.24	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"38 weeks"	"38"	45	3195.98	29.29	38.47	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"39 weeks"	"39"	62	3405.52	29.16	39.21	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"40 weeks"	"40"	52	3580.73	27.48	40.08	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"41 weeks"	"41"	22	3701.45	28.45	40.91	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"36 weeks"	"36"	10	2781.90	28.90	35.90	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"37 weeks"	"37"	22	3136.45	29.36	37.32	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"38 weeks"	"38"	39	3254.51	29.13	38.28	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"39 weeks"	"39"	70	3414.51	28.44	39.29	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"40 weeks"	"40"	58	3527.40	27.43	40.09	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"41 weeks"	"41"	30	3676.60	29.00	40.83	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"36 weeks"	"36"	12	2774.83	30.67	35.33	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"37 weeks"	"37"	14	2958.79	28.79	37.07	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"38 weeks"	"38"	48	3294.12	30.44	38.42	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"39 weeks"	"39"	92	3461.93	29.32	39.01	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"40 weeks"	"40"	62	3570.87	28.69	40.34	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"41 weeks"	"41"	30	3690.97	29.43	41.30	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"38 weeks"	"38"	56	3290.54	29.98	38.12	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"39 weeks"	"39"	80	3352.55	28.85	39.29	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"40 weeks"	"40"	68	3591.15	28.18	40.03	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"41 weeks"	"41"	18	3647.94	26.22	40.83	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"36 weeks"	"36"	12	2865.42	28.17	36.08	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"37 weeks"	"37"	15	3000.27	27.67	37.33	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"38 weeks"	"38"	49	3246.47	29.67	38.22	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"39 weeks"	"39"	64	3355.02	29.75	39.19	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"40 weeks"	"40"	63	3500.65	28.16	39.98	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"41 weeks"	"41"	18	3712.28	29.17	41.06	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"37 weeks"	"37"	18	2927.17	28.39	37.50	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"38 weeks"	"38"	50	3288.70	31.00	38.18	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"39 weeks"	"39"	76	3464.47	29.53	39.08	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"40 weeks"	"40"	69	3559.38	27.68	39.88	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"41 weeks"	"41"	28	3752.71	28.43	40.71	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"36 weeks"	"36"	10	2782.50	31.60	35.30	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"37 weeks"	"37"	22	3046.41	27.77	36.95	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"38 weeks"	"38"	62	3124.92	29.24	38.32	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"39 weeks"	"39"	79	3412.05	28.51	39.25	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"40 weeks"	"40"	56	3625.89	28.71	40.20	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"41 weeks"	"41"	32	3769.88	27.88	41.00	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"36 weeks"	"36"	13	2856.62	28.69	36.31	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"37 weeks"	"37"	24	2784.79	28.92	37.62	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"38 weeks"	"38"	49	3270.02	29.29	38.22	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"39 weeks"	"39"	73	3440.93	28.34	39.18	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"40 weeks"	"40"	73	3456.22	28.07	40.14	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"41 weeks"	"41"	36	3719.25	28.58	40.61	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"37 weeks"	"37"	19	3036.26	27.47	37.58	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"38 weeks"	"38"	45	3195.53	28.84	38.22	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"39 weeks"	"39"	77	3349.17	28.64	39.21	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"40 weeks"	"40"	71	3583.07	27.90	40.31	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"41 weeks"	"41"	38	3551.79	26.89	41.00	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"37 weeks"	"37"	25	2988.04	30.68	37.24	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"38 weeks"	"38"	38	3392.39	28.87	38.39	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"39 weeks"	"39"	64	3414.25	29.06	39.06	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"40 weeks"	"40"	52	3534.42	27.37	39.96	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"41 weeks"	"41"	15	3690.27	28.93	40.87	41.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"36 weeks"	"36"	10	2550.30	25.40	36.20	36.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"37 weeks"	"37"	11	3245.09	30.00	37.09	37.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"38 weeks"	"38"	46	3247.09	29.28	38.41	38.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"39 weeks"	"39"	85	3523.39	29.15	39.18	39.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"40 weeks"	"40"	61	3606.33	29.11	39.80	40.00
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"41 weeks"	"41"	21	3784.76	28.24	41.00	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"36 weeks"	"36"	12	2592.00	32.33	36.67	36.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"37 weeks"	"37"	19	2937.42	27.47	37.79	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"38 weeks"	"38"	49	3317.06	28.80	38.04	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"39 weeks"	"39"	63	3415.59	28.73	38.95	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"40 weeks"	"40"	75	3533.89	27.43	39.96	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"41 weeks"	"41"	26	3692.04	28.46	41.27	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"37 weeks"	"37"	14	3096.57	31.00	37.29	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"38 weeks"	"38"	64	3274.25	27.50	38.52	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"39 weeks"	"39"	64	3447.81	30.69	39.25	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"40 weeks"	"40"	74	3527.81	28.54	39.95	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"41 weeks"	"41"	23	3561.26	26.35	41.17	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"37 weeks"	"37"	26	3001.15	28.85	37.04	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"38 weeks"	"38"	57	3349.56	28.89	38.25	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"39 weeks"	"39"	78	3403.59	28.44	39.03	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"40 weeks"	"40"	65	3533.85	29.37	39.86	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"41 weeks"	"41"	23	3632.74	25.78	41.17	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"37 weeks"	"37"	16	3156.31	27.94	37.56	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"38 weeks"	"38"	41	3273.34	28.46	38.02	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"39 weeks"	"39"	83	3445.35	30.16	38.96	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"40 weeks"	"40"	62	3465.26	27.03	39.94	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"41 weeks"	"41"	33	3596.64	29.12	40.85	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"37 weeks"	"37"	19	2938.68	30.11	37.11	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"38 weeks"	"38"	46	3253.24	29.63	38.09	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"39 weeks"	"39"	83	3446.19	29.29	38.84	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"40 weeks"	"40"	75	3575.12	28.23	40.05	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"41 weeks"	"41"	44	3645.61	27.86	41.05	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"37 weeks"	"37"	16	2959.06	25.38	36.94	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"38 weeks"	"38"	41	3486.73	28.22	38.12	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"39 weeks"	"39"	84	3426.85	27.60	39.12	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"40 weeks"	"40"	65	3587.43	27.46	40.02	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"41 weeks"	"41"	23	3709.35	26.96	41.04	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"36 weeks"	"36"	11	2721.18	28.91	36.18	36.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"37 weeks"	"37"	21	3074.38	29.38	37.00	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"38 weeks"	"38"	47	3280.49	29.30	38.19	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"39 weeks"	"39"	81	3314.47	29.46	39.19	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"40 weeks"	"40"	60	3566.73	27.28	39.87	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"41 weeks"	"41"	36	3647.61	28.42	40.94	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"36 weeks"	"36"	17	2735.44	30.25	36.50	36.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"37 weeks"	"37"	26	2851.42	31.08	37.00	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"38 weeks"	"38"	45	3257.29	28.47	38.02	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"39 weeks"	"39"	66	3406.58	28.76	39.35	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"40 weeks"	"40"	49	3512.78	27.16	39.73	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"41 weeks"	"41"	26	3715.19	27.19	41.23	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"37 weeks"	"37"	14	3120.57	32.14	37.00	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"38 weeks"	"38"	39	3234.51	27.79	38.95	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"39 weeks"	"39"	104	3408.37	28.44	39.01	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"40 weeks"	"40"	65	3539.34	28.02	40.03	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"41 weeks"	"41"	24	3690.71	26.33	41.04	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"37 weeks"	"37"	19	2766.89	28.47	37.53	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"38 weeks"	"38"	35	3258.20	29.09	38.40	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"39 weeks"	"39"	83	3486.78	29.63	39.12	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"40 weeks"	"40"	46	3551.17	27.83	39.78	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"41 weeks"	"41"	22	3591.86	27.36	40.91	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"36 weeks"	"36"	11	2598.36	28.45	37.00	36.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"37 weeks"	"37"	18	2801.00	29.33	37.94	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"38 weeks"	"38"	48	3112.77	29.54	38.08	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"39 weeks"	"39"	60	3447.33	29.05	39.08	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"40 weeks"	"40"	56	3463.91	27.75	40.20	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"41 weeks"	"41"	22	3779.05	28.59	41.14	41.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"36 weeks"	"36"	10	2680.90	31.00	37.30	36.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"37 weeks"	"37"	16	3190.06	30.00	37.75	37.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"38 weeks"	"38"	42	3351.19	29.38	38.10	38.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"39 weeks"	"39"	84	3463.94	29.24	39.17	39.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"40 weeks"	"40"	55	3520.00	28.09	39.84	40.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"41 weeks"	"41"	31	3567.48	27.52	40.74	41.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"37 weeks"	"37"	14	3099.07	28.57	37.29	37.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"38 weeks"	"38"	33	3427.42	28.12	38.61	38.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"39 weeks"	"39"	90	3387.53	30.18	39.20	39.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"40 weeks"	"40"	57	3499.53	28.12	40.25	40.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"41 weeks"	"41"	23	3714.91	28.83	41.26	41.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"36 weeks"	"36"	13	2653.69	30.23	37.31	36.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"37 weeks"	"37"	16	3009.00	28.38	37.25	37.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"38 weeks"	"38"	26	3360.69	29.92	38.42	38.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"39 weeks"	"39"	76	3460.42	27.53	39.53	39.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"40 weeks"	"40"	55	3498.16	27.49	39.85	40.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"41 weeks"	"41"	33	3748.15	28.09	40.58	41.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"36 weeks"	"36"	13	2680.15	33.00	36.31	36.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"37 weeks"	"37"	12	2694.58	27.50	37.42	37.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"38 weeks"	"38"	42	3312.45	30.50	38.21	38.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"39 weeks"	"39"	82	3520.61	29.43	39.04	39.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"40 weeks"	"40"	65	3558.66	29.06	39.94	40.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"41 weeks"	"41"	25	3541.04	26.76	40.64	41.00
