"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	Births	Average Birth Weight
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"36 weeks"	"36"	10	2577.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"38 weeks"	"38"	47	3164.98
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"39 weeks"	"39"	82	3455.67
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"40 weeks"	"40"	57	3492.49
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"41 weeks"	"41"	34	3723.24
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"37 weeks"	"37"	20	2953.45
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"38 weeks"	"38"	41	3214.46
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"39 weeks"	"39"	62	3350.87
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"40 weeks"	"40"	66	3473.61
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	"41 weeks"	"41"	27	3558.96
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"37 weeks"	"37"	22	3146.41
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"38 weeks"	"38"	52	3413.40
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"39 weeks"	"39"	76	3499.83
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"40 weeks"	"40"	52	3573.27
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	"41 weeks"	"41"	23	3636.26
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"37 weeks"	"37"	24	2863.96
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"38 weeks"	"38"	38	3310.47
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"39 weeks"	"39"	66	3487.15
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"40 weeks"	"40"	54	3605.65
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	"41 weeks"	"41"	25	3712.76
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"37 weeks"	"37"	21	2964.76
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"38 weeks"	"38"	45	3195.98
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"39 weeks"	"39"	62	3405.52
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"40 weeks"	"40"	52	3580.73
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	"41 weeks"	"41"	22	3701.45
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"36 weeks"	"36"	10	2781.90
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"37 weeks"	"37"	22	3136.45
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"38 weeks"	"38"	39	3254.51
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"39 weeks"	"39"	70	3414.51
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"40 weeks"	"40"	58	3527.40
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	"41 weeks"	"41"	30	3676.60
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"36 weeks"	"36"	12	2774.83
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"37 weeks"	"37"	14	2958.79
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"38 weeks"	"38"	48	3294.12
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"39 weeks"	"39"	92	3461.93
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"40 weeks"	"40"	62	3570.87
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	"41 weeks"	"41"	30	3690.97
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"38 weeks"	"38"	56	3290.54
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"39 weeks"	"39"	80	3352.55
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"40 weeks"	"40"	68	3591.15
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	"41 weeks"	"41"	18	3647.94
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"36 weeks"	"36"	12	2865.42
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"37 weeks"	"37"	15	3000.27
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"38 weeks"	"38"	49	3246.47
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"39 weeks"	"39"	64	3355.02
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"40 weeks"	"40"	63	3500.65
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	"41 weeks"	"41"	18	3712.28
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"37 weeks"	"37"	18	2927.17
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"38 weeks"	"38"	50	3288.70
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"39 weeks"	"39"	76	3464.47
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"40 weeks"	"40"	69	3559.38
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	"41 weeks"	"41"	28	3752.71
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"36 weeks"	"36"	10	2782.50
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"37 weeks"	"37"	22	3046.41
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"38 weeks"	"38"	62	3124.92
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"39 weeks"	"39"	79	3412.05
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"40 weeks"	"40"	56	3625.89
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	"41 weeks"	"41"	32	3769.88
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"36 weeks"	"36"	13	2856.62
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"37 weeks"	"37"	24	2784.79
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"38 weeks"	"38"	49	3270.02
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"39 weeks"	"39"	73	3440.93
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"40 weeks"	"40"	73	3456.22
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	"41 weeks"	"41"	36	3719.25
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"37 weeks"	"37"	19	3036.26
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"38 weeks"	"38"	45	3195.53
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"39 weeks"	"39"	77	3349.17
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"40 weeks"	"40"	71	3583.07
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	"41 weeks"	"41"	38	3551.79
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"37 weeks"	"37"	25	2988.04
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"38 weeks"	"38"	38	3392.39
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"39 weeks"	"39"	64	3414.25
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"40 weeks"	"40"	52	3534.42
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	"41 weeks"	"41"	15	3690.27
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"36 weeks"	"36"	10	2550.30
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"37 weeks"	"37"	11	3245.09
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"38 weeks"	"38"	46	3247.09
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"39 weeks"	"39"	85	3523.39
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"40 weeks"	"40"	61	3606.33
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	"41 weeks"	"41"	21	3784.76
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"36 weeks"	"36"	12	2592.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"37 weeks"	"37"	19	2937.42
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"38 weeks"	"38"	49	3317.06
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"39 weeks"	"39"	63	3415.59
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"40 weeks"	"40"	75	3533.89
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	"41 weeks"	"41"	26	3692.04
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"37 weeks"	"37"	14	3096.57
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"38 weeks"	"38"	64	3274.25
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"39 weeks"	"39"	64	3447.81
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"40 weeks"	"40"	74	3527.81
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	"41 weeks"	"41"	23	3561.26
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"37 weeks"	"37"	26	3001.15
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"38 weeks"	"38"	57	3349.56
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"39 weeks"	"39"	78	3403.59
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"40 weeks"	"40"	65	3533.85
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	"41 weeks"	"41"	23	3632.74
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"37 weeks"	"37"	16	3156.31
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"38 weeks"	"38"	41	3273.34
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"39 weeks"	"39"	83	3445.35
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"40 weeks"	"40"	62	3465.26
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	"41 weeks"	"41"	33	3596.64
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"37 weeks"	"37"	19	2938.68
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"38 weeks"	"38"	46	3253.24
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"39 weeks"	"39"	83	3446.19
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"40 weeks"	"40"	75	3575.12
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	"41 weeks"	"41"	44	3645.61
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"37 weeks"	"37"	16	2959.06
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"38 weeks"	"38"	41	3486.73
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"39 weeks"	"39"	84	3426.85
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"40 weeks"	"40"	65	3587.43
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	"41 weeks"	"41"	23	3709.35
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"36 weeks"	"36"	11	2721.18
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"37 weeks"	"37"	21	3074.38
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"38 weeks"	"38"	47	3280.49
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"39 weeks"	"39"	81	3314.47
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"40 weeks"	"40"	60	3566.73
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	"41 weeks"	"41"	36	3647.61
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"36 weeks"	"36"	17	2735.44
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"37 weeks"	"37"	26	2851.42
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"38 weeks"	"38"	45	3257.29
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"39 weeks"	"39"	66	3406.58
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"40 weeks"	"40"	49	3512.78
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	"41 weeks"	"41"	26	3715.19
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"37 weeks"	"37"	14	3120.57
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"38 weeks"	"38"	39	3234.51
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"39 weeks"	"39"	104	3408.37
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"40 weeks"	"40"	65	3539.34
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	"41 weeks"	"41"	24	3690.71
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"37 weeks"	"37"	19	2766.89
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"38 weeks"	"38"	35	3258.20
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"39 weeks"	"39"	83	3486.78
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"40 weeks"	"40"	46	3551.17
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	"41 weeks"	"41"	22	3591.86
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"36 weeks"	"36"	11	2598.36
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"37 weeks"	"37"	18	2801.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"38 weeks"	"38"	48	3112.77
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"39 weeks"	"39"	60	3447.33
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"40 weeks"	"40"	56	3463.91
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	"41 weeks"	"41"	22	3779.05
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"36 weeks"	"36"	10	2680.90
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"37 weeks"	"37"	16	3190.06
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"38 weeks"	"38"	42	3351.19
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"39 weeks"	"39"	84	3463.94
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"40 weeks"	"40"	55	3520.00
	"Albany County, NY"	"36001"	"2009"	"2009"	"December"	"12"	"41 weeks"	"41"	31	3567.48
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"37 weeks"	"37"	14	3099.07
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"38 weeks"	"38"	33	3427.42
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"39 weeks"	"39"	90	3387.53
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"40 weeks"	"40"	57	3499.53
	"Albany County, NY"	"36001"	"2010"	"2010"	"January"	"1"	"41 weeks"	"41"	23	3714.91
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"36 weeks"	"36"	13	2653.69
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"37 weeks"	"37"	16	3009.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"38 weeks"	"38"	26	3360.69
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"39 weeks"	"39"	76	3460.42
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"40 weeks"	"40"	55	3498.16
	"Albany County, NY"	"36001"	"2010"	"2010"	"February"	"2"	"41 weeks"	"41"	33	3748.15
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"36 weeks"	"36"	13	2680.15
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"37 weeks"	"37"	12	2694.58
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"38 weeks"	"38"	42	3312.45
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"39 weeks"	"39"	82	3520.61
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"40 weeks"	"40"	65	3558.66
	"Albany County, NY"	"36001"	"2010"	"2010"	"March"	"3"	"41 weeks"	"41"	25	3541.04
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"37 weeks"	"37"	14	2924.50
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"38 weeks"	"38"	35	3207.86
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"39 weeks"	"39"	81	3481.62
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"40 weeks"	"40"	71	3554.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"April"	"4"	"41 weeks"	"41"	29	3656.07
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"37 weeks"	"37"	21	2868.19
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"38 weeks"	"38"	33	3306.58
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"39 weeks"	"39"	84	3435.44
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"40 weeks"	"40"	62	3559.42
	"Albany County, NY"	"36001"	"2010"	"2010"	"May"	"5"	"41 weeks"	"41"	22	3710.32
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"37 weeks"	"37"	13	2997.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"38 weeks"	"38"	40	3349.78
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"39 weeks"	"39"	94	3403.81
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"40 weeks"	"40"	68	3555.00
	"Albany County, NY"	"36001"	"2010"	"2010"	"June"	"6"	"41 weeks"	"41"	25	3787.40
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"36 weeks"	"36"	11	2647.18
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"37 weeks"	"37"	14	3005.86
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"38 weeks"	"38"	35	3232.91
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"39 weeks"	"39"	92	3475.74
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"40 weeks"	"40"	60	3484.72
	"Albany County, NY"	"36001"	"2010"	"2010"	"July"	"7"	"41 weeks"	"41"	35	3740.49
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"36 weeks"	"36"	11	2837.27
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"37 weeks"	"37"	13	2991.85
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"38 weeks"	"38"	32	3194.19
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"39 weeks"	"39"	78	3461.44
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"40 weeks"	"40"	60	3511.37
	"Albany County, NY"	"36001"	"2010"	"2010"	"August"	"8"	"41 weeks"	"41"	30	3687.40
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"37 weeks"	"37"	16	3080.06
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"38 weeks"	"38"	47	3215.51
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"39 weeks"	"39"	87	3438.31
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"40 weeks"	"40"	63	3557.59
	"Albany County, NY"	"36001"	"2010"	"2010"	"September"	"9"	"41 weeks"	"41"	27	3590.33
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"37 weeks"	"37"	17	2963.29
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"38 weeks"	"38"	45	3156.02
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"39 weeks"	"39"	77	3395.75
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"40 weeks"	"40"	61	3491.51
	"Albany County, NY"	"36001"	"2010"	"2010"	"October"	"10"	"41 weeks"	"41"	31	3856.65
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"36 weeks"	"36"	12	2458.08
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"37 weeks"	"37"	22	3161.77
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"38 weeks"	"38"	39	3413.51
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"39 weeks"	"39"	63	3417.76
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"40 weeks"	"40"	61	3539.10
	"Albany County, NY"	"36001"	"2010"	"2010"	"November"	"11"	"41 weeks"	"41"	16	3559.69
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"36 weeks"	"36"	12	2503.75
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"37 weeks"	"37"	15	2826.33
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"38 weeks"	"38"	50	3253.48
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"39 weeks"	"39"	91	3473.08
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"40 weeks"	"40"	53	3540.38
	"Albany County, NY"	"36001"	"2010"	"2010"	"December"	"12"	"41 weeks"	"41"	25	3560.68
